Title,Year,Duration,IMDb Rating,Votes
119. Dan Da Dan: First Encounter,2024,1h 23m,8.2,2.3K
120. My Spy The Eternal City,2024,1h 52m,5.7,10K
121. Old Guy,2024,1h 44m,7.1,52
122. Megamind vs. The Doom Syndicate,2024,1h 23m,2.4,5.3K
123. Hanu Man,2024,2h 38m,7.7,29K
124. Agent Recon,2024,1h 25m,2.4,582
125. Justice League: Crisis on Infinite Earths - Part One,2024,1h 33m,6.2,8K
126. Thangalaan,2024,2h 36m,6.7,6.1K
127. Hounds of War,2024,1h 35m,4.5,1.5K
128. Kill Em All 2,2024,1h 28m,4.1,1.2K
129. Officer Black Belt,2024,1h 48m,6.8,7.3K
130. Badland Hunters,2024,1h 47m,5.9,12K
131. Levels,2024,1h 33m,5.0,1.2K
132. Code 8: Part II,2024,1h 40m,5.7,15K
133. A Legend,2024,2h 9m,4.7,769
134. Anaconda,2024,1h 24m,4.8,567
135. The Price of Money: A Largo Winch Adventure,2024,1h 40m,5.0,826
136. Khadaan,2024,2h 17m,7.4,1.5K
137. Vanvaas,2024,2h 40m,6.8,855
138. Bade Miyan Chote Miyan,2024,2h 43m,3.8,39K
139. Hitpig,2024,1h 26m,5.0,667
140. Sorgavaasal,2024,2h 18m,6.7,1.1K
141. Justice League: Crisis on Infinite Earths - Part Three,2024,1h 34m,6.1,4K
142. Panda Plan,2024,1h 39m,5.2,766
143. Alien: Rubicon,2024,1h 26m,2.5,246
144. Dominique,2024,1h 40m,5.1,1.8K
145. Long Gone Heroes,2024,1h 32m,5.1,702
146. The Courier,2024,1h 41m,6.0,4.1K
147. Chandu Champion,2024,2h 22m,7.8,33K
148. Hijack 1971,2024,1h 40m,6.8,3K
149. Bagheera,2024,2h 38m,6.7,6.9K
150. Freaky Tales,2024,1h 46m,6.9,192
151. Kanguva,2024,2h 32m,4.6,14K
152. Dark Match,2024,1h 34m,6.1,137
153. Vettaiyan,2024,2h 43m,7.1,39K
154. Duchess,2024,1h 54m,4.6,1.1K
155. Darkness of Man,2024,1h 49m,4.4,1.8K
156. Prey,2024,1h 26m,3.7,3.1K
157. One More Shot,2024,1h 43m,5.4,3.4K
158. Arena Wars,2024,1h 36m,5.1,1.9K
"159. I, the Executioner",2024,1h 58m,6.4,1.2K
160. Simarik,2024,1h 51m,7.7,1.1K
161. Air Force One Down,2024,1h 24m,4.4,2.7K
162. Joe Baby,2024,1h 26m,8.1,15
163. Article 370,2024,2h 38m,7.8,24K
164. Escape,2024,1h 34m,6.4,1.6K
165. Angels Fallen: Warriors of Peace,2024,1h 43m,5.0,5.7K
166. Cloud,2024,2h 3m,6.4,681
167. City Hunter,2024,1h 42m,6.3,5.3K
168. The Wages of Fear,2024,1h 44m,4.6,3.9K
169. Mafia Wars,2024,1h 34m,3.6,136
170. Die Hart 2: Die Harter,2024,1h 32m,4.3,5.3K
171. Lights Out,2024,1h 30m,4.9,1.7K
172. The Greatest of All Time,2024,3h 3m,5.8,21K
173. Justice League: Crisis on Infinite Earths - Part Two,2024,1h 34m,5.5,4.9K
174. The Clean Up Crew,2024,1h 35m,4.2,978
175. Freedom,2024,1h 50m,5.9,1.2K
176. Eagle,2024,2h 39m,5.9,4.7K
177. Ultraman: Rising,2024,1h 57m,6.9,6K
178. Revolver,2024,1h 54m,5.4,745
179. The Quiet Ones,2024,1h 50m,6.5,402
180. 200% Wolf,2024,1h 38m,5.5,769
181. A.R.M,2024,2h 30m,7.1,8.2K
182. Golden Kamuy,2024,2h 7m,6.3,2.3K
183. GTMax,2024,1h 40m,5.0,1.1K
184. Yudhra,2024,2h 22m,5.1,13K
185. Eye for an Eye 2,2024,1h 30m,6.6,405
186. Wynonna Earp: Vengeance,2024,1h 36m,5.5,1.4K
187. Saripodhaa Sanivaaram,2024,2h 46m,7.0,8.5K
188. Rogue Elements: A Ryan Drake Story,2024,44m,5.1,868
189. One Fast Move,2024,1h 48m,5.0,2.1K
190. The Ballad of Davy Crockett,2024,1h 36m,4.6,224
191. Zebra,2024,2h 44m,8.1,3.1K
192. The Tiger's Apprentice,2024,1h 24m,5.7,2K
193. Sixty Minutes,2024,1h 28m,5.7,5K
194. Pottel,2024,2h 28m,9.0,2.6K
195. The Last Kumite,2024,1h 45m,4.6,2.2K
196. Mr. Bachchan,2024,2h 30m,3.6,5.2K
197. The Lockdown,2024,1h 57m,4.3,568
198. Get Fast,2024,1h 28m,3.6,376
199. Cassino in Ischia,2024,1h 53m,4.4,194
200. Savi,2024,2h 6m,6.2,35K
201. Yolo,2024,2h 9m,6.9,3.4K
202. Troubleshooters,2024,1h 50m,7.5,374
203. Vedaa,2024,2h 25m,6.0,4.1K
204. Raayan,2024,2h 25m,6.5,10K
205. Latency,2024,1h 34m,4.2,1.6K
206. Outlaw,2024,1h 22m,5.2,845
207. Barroz: Guardian of Treasures,2024,2h 35m,4.0,699
208. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,2024,2h 54m,7.9,526
209. 72 Hours,2024,1h 27m,4.2,255
210. Yodha,2024,2h 10m,5.7,8.7K
211. My Hero Academia: You're Next,2024,1h 50m,7.0,1.4K
212. Death Whisperer 2,2024,1h 50m,7.1,593
213. Operation Blood Hunt,2024,1h 33m,3.3,380
214. Alienoid: The Return to the Future,2024,2h 2m,6.5,2.4K
215. Guntur Kaaram,2024,2h 39m,5.4,24K
216. The Last Front,2024,1h 38m,5.5,553
217. Alangu,2024,2h 11m,9.1,996
"218. Love, Courage and the Battle of Bushy Run",2024,1h 53m,5.7,119
219. Son's Will,2024,N/A,7.5,791
220. Wanted Man,2024,1h 25m,4.8,2.4K
221. Terminator: Skynet Rising,2024,1h 28m,6.9,246
222. Mobile Suit Gundam SEED Freedom,2024,2h 4m,6.7,888
223. Ryan's World the Movie: Titan Universe Adventure,2024,1h 20m,2.1,465
224. The Hangman,2024,1h 32m,3.3,951
225. Heart of the Hunter,2024,1h 45m,4.7,2K
226. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,2024,1h 44m,7.1,8K
227. Indian 2,2024,3h,3.9,16K
