Title,Year,Duration,IMDb Rating,Votes
121. Bato: Road to Death,2024,2h 17m,4.9,274
122. Abraham Ozler,2024,2h 23m,6.5,4K
123. Go Away,2024,N/A,4.5,112
124. Next to Us,2024,2h 5m,4.9,186
125. ClearMind,2024,1h 25m,4.1,2.2K
126. Carnage for Christmas,2024,1h 9m,4.5,320
127. Seeds,2024,1h 22m,6.6,51
128. In Our Blood,2024,1h 29m,7.0,31
129. Stupid Games,2024,1h 26m,4.0,282
130. Vina: Before 7 Days,2024,1h 40m,5.3,543
131. The Private Eye,2024,1h 55m,6.9,116
132. LasseMajas detektivbyrå - Maskoten som försvann,2024,1h 30m,6.2,42
133. Foreclosure 2,2024,1h 17m,3.6,93
134. Dark Night of the Soul,2024,N/A,6.6,20
135. Dancing Village: The Curse Begins,2024,2h 2m,5.7,4.1K
136. The Island Between Tides,2024,1h 39m,6.3,241
137. Gazer,2024,1h 54m,6.4,81
138. Amp House Massacre,2024,1h 20m,3.8,147
139. 200KG Vampire,2024,1h 33m,5.7,22
140. Campton Manor,2024,1h 23m,3.4,209
141. A Stranger in the Woods,2024,1h 24m,4.1,458
142. Murder and Cocktails,2024,1h 28m,4.0,347
143. Karma's a Bitch,2024,1h 29m,4.9,25
144. Deadly Invitations,2024,1h 29m,4.2,170
145. Hunting Daze,2024,1h 19m,5.5,196
146. A Stranger's Child,2024,1h 28m,5.4,124
147. Dark Feathers: Dance of the Geisha,2024,1h 33m,6.4,830
148. Dirty Boy,2024,1h 38m,8.2,15
149. Perewangan,2024,1h 49m,6.5,48
"150. Silent Night, Bloody Night 3: Descent",2024,1h 40m,4.9,82
151. Free Falling,2024,1h 29m,5.2,272
152. Kondal,2024,2h 27m,5.4,728
153. Transamazonia,2024,1h 52m,6.0,56
154. Athomugam,2024,2h 10m,6.9,600
155. Aftermath,2024,1h 18m,5.4,4.4K
156. The Unseen Sister,2024,1h 52m,5.7,740
157. 7/G,2024,2h 20m,4.6,634
158. Jangan Pandang Belakang 2: Aku Tahu Asal Usulmu,2024,1h 44m,5.4,39
159. Karina,2024,1h 31m,7.0,15
160. The Night Curse of Reatrei,2024,1h 35m,6.2,104
161. Tebusan Dosa,2024,1h 56m,7.2,44
162. Rautu Ka Raaz,2024,1h 54m,6.3,1.9K
163. Granny,2024,40m,N/A,N/A
164. Beline,2024,1h 28m,5.6,1.3K
165. Solvent,2024,N/A,7.9,294
166. Daft State,2024,18+,6.5,36
167. First Nights at Freddy's,2024,1h 38m,9.1,9
168. Sheriff,2024,2h 13m,6.9,1K
169. The Well,2024,N/A,5.0,8
170. Wicked Season,2024,N/A,5.6,30
171. Simbaa,2024,2h 1m,6.2,2.2K
172. The Last Chainsaw Massacre,2024,1h 15m,3.8,32
173. The Star City Murders,2024,1h 19m,4.6,128
174. Shark Island,2024,1h 21m,3.9,101
175. The Manifestation,2024,1h 24m,3.5,139
176. L'orto americano,2024,1h 47m,6.0,44
177. About a Hero,2024,1h 24m,7.2,18
178. Hunting Matthew Nichols,2024,1h 36m,9.1,40
179. The Temp,2024,N/A,5.8,40
180. Kizumonogatari: Koyomi Vamp,2024,2h 24m,7.1,64
181. Passages of Nexus,2024,1h 48m,6.2,157
182. Gaami,2024,2h 27m,6.4,1.9K
183. A Song from the Dark,2024,1h 45m,4.8,2.2K
184. You Are Not Alone,2024,1h 45m,6.2,45
185. Flesh of the Unforgiven,2024,1h 28m,9.2,31
186. The Apocalypse Box,2024,1h 26m,3.3,222
187. Shigatsu ni nareba kanojo wa,2024,1h 48m,6.2,383
188. Pogumidam Vegu Thooramillai,2024,2h 13m,7.6,3.8K
189. Algiers,2024,1h 33m,7.9,37
190. What Happened to Suzy,2024,1h 34m,7.2,28
191. Sam and Colby: The Legends of the Paranormal,2024,1h 38m,4.5,290
192. Brief History of a Family,2024,1h 39m,6.7,384
193. DNA,2024,2h 36m,5.1,203
194. To Kill a Wolf,2024,1h 32m,8.7,27
195. Best Man Dead Man,2024,1h 23m,8.0,5
196. Andhagan,2024,2h 22m,6.7,1.2K
197. You Will Die in 6 Hours,2024,1h 31m,4.8,170
198. Tell No Lies,2024,1h 44m,5.1,236
199. Dead Man,2024,1h 49m,5.2,190
200. Faultline,2024,N/A,8.7,20
201. House of Lies,2024,1h 22m,3.8,181
202. Buying Time,2024,1h 24m,7.1,231
203. While You Were Sleeping,2024,1h 39m,6.0,146
204. Snow Valley,2024,1h 15m,2.8,327
205. The Backrooms,2024,1h 3m,N/A,N/A
206. Lunacy,2024,1h 17m,5.0,56
207. Not Your Average Family,2024,1h 37m,5.8,95
208. Take Good Care,2024,N/A,N/A,N/A
209. Grayson's Encounter,2024,1h 10m,7.2,21
210. What Happens in Miami,2024,1h 30m,4.3,211
211. A Girl Upstairs,2024,1h 30m,6.6,45
212. Backfire,2024,N/A,N/A,N/A
213. Morena,2024,1h 46m,7.1,25
214. A Strange House,2024,1h 50m,5.5,271
215. Drive,2024,1h 30m,5.7,277
216. Water Horse,2024,1h 25m,5.9,228
217. Tenant,2024,1h 39m,6.4,193
218. Unknown Caller,2024,1h 3m,5.2,14
219. Perfect Blue,2024,N/A,N/A,N/A
220. Waterdrop,2024,1h 30m,7.1,32
221. Final Girl: Halloween,2024,1h 25m,4.6,97
222. Mannequin,2024,N/A,5.7,103
223. Like Aani Subscribe,2024,2h 20m,7.4,6.1K
224. A Cold Grave,2024,N/A,3.5,264
225. Winner,2024,1h 8m,5.3,24
226. The Gatekeeper,2024,1h 37m,5.2,17
227. Cidade; Campo,2024,1h 59m,6.3,120
228. The Birthday Boy,2024,1h 58m,8.8,3K
229. Danger in the Dorm,2024,1h 26m,5.0,143
230. Ranam Aram Thavarel,2024,2h 1m,5.9,806
231. Clasat,2024,1h 31m,8.6,35
232. Chaalchitro: The Frame Fatale,2024,2h 4m,7.1,560
233. Bodiless,2024,1h 30m,5.7,920
234. Chithini,2024,2h 31m,6.9,547
235. My Husband Hired a Hitman,2024,1h 32m,4.6,82
236. Vertical,2024,1h 51m,5.3,94
237. Maid to Kill,2024,1h 31m,N/A,N/A
238. Nico,2024,1h 49m,8.8,38
239. Scopophobia,2024,1h 40m,6.4,35
240. The Hunter's Anthology: The Demon Hunter,2024,2h 6m,5.1,86
241. The Box,2024,1h 19m,3.6,66
242. Anak Perjanjian Syaitan 2,2024,1h 29m,6.6,32
243. Bhoothaddam Bhaskar Narayana,2024,2h 21m,6.4,251
244. Welcome to the Game,2024,1h 30m,5.9,51
245. The Stalking,2024,N/A,4.3,17
246. Amityville Turkey Day,2024,1h 34m,2.4,269
247. Room 0,2024,1h 42m,3.1,200
248. Fidan,2024,N/A,7.9,54
249. Rakshana,2024,2h 19m,6.0,1.1K
250. The Haunting of Hollywood,2024,1h 25m,3.8,56
251. An Intruder Among Us,2024,N/A,9.0,9
252. Døde menn går på ski,2024,1h 29m,5.5,183
253. In Unison,2024,1h 40m,N/A,N/A
254. The Epidemic,2024,1h 35m,5.9,67
255. Cora,2024,N/A,6.7,18
256. A Herança,2024,1h 20m,6.3,55
257. Haunting Trophies,2024,2h 30m,7.7,61
258. Live or Dead: The García File,2024,1h 24m,6.4,85
259. Real Life Fiction,2024,1h 35m,6.3,7
260. Cold Blows the Wind,2024,1h 25m,5.1,349
261. The Industry,2024,N/A,N/A,N/A
