Title,Year,Duration,IMDb Rating,Votes
103. Trapezium,2024,1h 42m,6.5,91
104. Schirkoa: In Lies We Trust,2024,1h 43m,5.7,143
105. Fox & Hare Save the Forest,2024,1h 11m,6.5,124
106. Tri kota. Zimnie kanikuly,2024,1h 5m,6.0,15
107. Tobias and the Arcane Merchant,2024,2h 47m,8.9,39
108. My Redneck Neighbor: Chapter 2 - Let the Games Begin,2024,55m,N/A,N/A
109. Peppa's Cinema Party,2024,1h 5m,5.0,148
110. Inanimate Insanity II: The Movie,2024,1h 46m,8.9,207
111. Si Juki the Movie: Harta Pulau Monyet,2024,1h 47m,6.1,103
112. Boonie Bears: Time Twist,2024,1h 45m,6.0,147
113. Double Tuckerr,2024,2h,4.9,1.2K
114. Dragon Ball Z Kai,2024,1h 22m,8.3,50
115. Quo Vadis,2024,1h 30m,6.3,186
116. Teacher's Pet,2024,N/A,5.4,33
117. Isla Monstro,2024,N/A,N/A,N/A
118. Sanatorium Under the Sign of the Hourglass,2024,1h 15m,5.1,74
119. Bocchi the Rock! Re: Re:,2024,1h 17m,7.9,68
120. Kvitebjørn,2024,1h 25m,6.1,38
121. Ivan Tsarevich i Seryy Volk 6,2024,N/A,7.5,16
122. Dikkie Dik en de Verdwenen Knuffel,2024,1h 2m,7.2,120
123. Into the Mortal World,2024,1h 58m,7.6,79
124. Jon Vardar protiv Galaksijata,2024,1h 26m,9.0,58
125. Transformers: 40th Anniversary Event,2024,1h 36m,7.0,26
126. A Few Moments of Cheers,2024,1h 8m,6.6,6
127. Captain Avispa,2024,1h 36m,5.9,167
128. The Big Trip 3: Race Around the World,2024,1h 25m,5.5,38
129. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,2024,1h 11m,6.4,23
130. Heartsping : Teenieping of Love,2024,TV-Y,7.0,18
131. Rebellious,2024,1h 34m,6.8,51
132. Dinosaur Empire,2024,N/A,N/A,N/A
133. Mochi-chon,2024,N/A,10,5
134. Taisu Xilie,2024,1h 40m,N/A,N/A
135. Dead Dead Demon's Dededede Destruction Zenpen,2024,2h,7.2,126
136. Uma & Haggen: Mitos,2024,1h 34m,7.5,39
137. Mariposas Negras,2024,1h 23m,6.6,37
138. PAPmusic - Animation for Fashion,2024,1h 25m,1.0,113
139. Rock Bottom,2024,1h 26m,6.6,32
140. COPS VS WHORES,2024,N/A,N/A,N/A
