Title,Year,Duration,IMDb Rating,Votes
122. The Sabarmati Report,2024,2h 7m,6.5,23K
123. Succubus,2024,1h 43m,4.6,1K
124. You Shall Not Sleep Tonight,2024,1h 17m,4.2,235
125. The Thundermans Return,2024,1h 10m,4.9,1.7K
126. Night of the Zoopocalypse,2024,1h 31m,7.4,68
127. The Inheritance,2024,1h 25m,4.7,2.5K
128. Dead Sea,2024,1h 28m,5.3,4.9K
129. A Sacrifice,2024,1h 34m,5.1,4.7K
130. Manjummel Boys,2024,2h 15m,8.2,26K
131. Cellar Door,2024,1h 37m,5.2,2.6K
132. Sting,2024,1h 31m,5.7,15K
133. Hold Your Breath,2024,1h 34m,5.3,7.9K
134. Jigra,2024,2h 33m,6.1,23K
135. Night Swim,2024,1h 38m,4.7,26K
136. Do Patti,2024,2h 6m,6.5,68K
137. Sikandar Ka Muqaddar,2024,2h 22m,6.0,24K
138. The Wasp,2024,1h 36m,6.0,3.4K
139. Tacoma,2024,1h 43m,5.3,119
140. Damaged,2024,1h 37m,4.7,6.6K
141. Die Alone,2024,1h 31m,5.7,2.1K
142. Chief of Station,2024,1h 37m,4.7,4.1K
143. Mea Culpa,2024,2h,4.2,6.8K
144. The Painter,2024,1h 40m,4.7,2K
145. The Girl in the Pool,2024,1h 29m,4.3,1.2K
146. Devara Part 1,2024,2h 56m,6.0,19K
147. Winner,2024,1h 43m,6.4,1.5K
148. V/H/S/Beyond,2024,1h 54m,5.9,8.5K
149. The Surfer,2024,1h 39m,6.5,425
150. Harbin,2024,1h 48m,6.8,306
151. Red Right Hand,2024,1h 51m,5.4,5.5K
152. Something in the Water,2024,1h 26m,4.1,4K
153. The Intruder,2024,1h 41m,5.1,216
154. River of Blood,2024,1h 26m,4.1,207
155. Maharaj,2024,2h 11m,6.5,14K
156. Bedspacer,2024,1h 30m,4.5,308
157. The Rule of Jenny Pen,2024,1h 43m,6.7,167
158. You Can't Run Forever,2024,1h 42m,4.5,4K
159. Bramayugam,2024,2h 19m,7.8,13K
160. Hidden Face,2024,1h 55m,6.2,292
161. Imaginary,2024,1h 44m,4.7,16K
162. Sector 36,2024,2h 3m,7.1,24K
163. Magpie,2024,1h 30m,6.1,2.1K
164. Take Cover,2024,1h 30m,5.1,1.9K
165. Outside,2024,2h 22m,5.1,4.2K
166. Skincare,2024,1h 36m,5.7,3.9K
167. F*** Marry Kill,2024,1h 37m,5.2,1.2K
168. Colors of Evil: Red,2024,1h 51m,6.4,8K
169. Santosh,2024,2h,7.0,1K
170. Trapped Inn,2024,1h 55m,2.9,770
171. Depravity,2024,1h 57m,4.3,757
172. Love Me Dead,2024,1h 27m,7.3,18
173. Uprising,2024,2h 6m,6.6,4.9K
174. The Roundup: Punishment,2024,1h 49m,6.6,4.7K
175. The Mouse Trap,2024,1h 20m,2.5,2.7K
176. Out Come the Wolves,2024,1h 26m,4.7,1.3K
