Title,Year,Duration,IMDb Rating,Votes
117. The Invisibles,2024,1h 51m,5.8,420
118. Posledniy Ronin,2024,2h 1m,6.2,69
119. Balestra,2024,2h 25m,5.1,485
120. Justicia artificial,2024,1h 38m,5.7,355
121. Big City Greens the Movie: Spacecation,2024,TV-Y7,6.2,502
122. U Are the Universe,2024,1h 30m,7.8,190
123. Aiden,2024,1h 14m,2.7,107
124. Peripheral,2024,1h 28m,9.1,15
125. Psychonaut,2024,1h 27m,8.0,11
126. Unspeakable: Beyond the Wall of Sleep,2024,1h 30m,5.8,24
127. In Vitro,2024,1h 29m,7.9,98
128. Somnium,2024,1h 32m,8.6,38
129. Alien Country,2024,1h 36m,4.4,331
130. Tim Travers & the Time Travelers Paradox,2024,1h 35m,6.9,261
131. Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,2024,N/A,6.6,33
132. Lumina,2024,2h,2.1,552
133. Mummy Shark,2024,N/A,3.1,70
134. www.RachelOrmont.com,2024,1h 20m,4.0,24
135. 40 Acres,2024,1h 48m,5.5,74
136. Test Screening,2024,1h 32m,6.8,55
"137. Aire, Just Breathe",2024,1h 38m,4.7,178
138. Else,2024,1h 40m,6.2,205
139. The Thinking Game,2024,1h 24m,8.1,30
140. Ghost Planet,2024,1h 25m,4.8,243
141. Space Sharks,2024,1h 10m,1.5,297
142. Escape from the 21st Century,2024,1h 38m,6.5,714
143. Offworld: Alien Planet,2024,1h 32m,3.4,101
144. Bury Your Dead,2024,2h 8m,5.3,72
145. Planetquake,2024,1h 25m,3.0,260
146. South of Hope Street,2024,1h 41m,3.3,118
147. Ayalaan,2024,2h 35m,6.0,3.9K
148. Mobile Suit Gundam SEED Freedom,2024,2h 4m,6.7,888
149. Double Ismart,2024,2h 36m,2.9,2.1K
150. No Time to Spy: A Loud House Movie,2024,1h 21m,6.3,415
151. Space Command Redemption,2024,2h 2m,4.4,142
152. Saturn,2024,1h 40m,7.3,26
153. Don't F**k with Ghosts,2024,N/A,7.4,190
154. It All Comes with the Cold Water,2024,N/A,9.7,142
155. The Silent Planet,2024,1h 35m,5.8,16
156. Ape X Mecha Ape: New World Order,2024,1h 27m,3.2,113
