Title,Year,Duration,IMDb Rating,Votes
118. A '90s Christmas,2024,1h 30m,6.0,1.1K
119. Still Fabulous,2024,1h 32m,4.9,810
120. Powder Pup,2024,1h 29m,6.5,64
121. Christmas in the Spotlight,2024,1h 27m,5.8,631
122. Valentine's Town,2024,1h 24m,5.2,150
123. Another End,2024,2h 9m,6.5,646
124. Mr. Bachchan,2024,2h 30m,3.6,5.2K
125. Love at 39 Degrees,2024,1h 55m,5.6,1.1K
126. Haunted Heart,2024,2h 8m,4.8,407
127. Love Across Time,2024,N/A,7.3,262
128. The Family Star,2024,2h 39m,5.4,5.2K
"129. Love, Divided",2024,1h 38m,5.9,4.3K
130. Murphy,2024,2h 16m,7.5,2.3K
131. Yo no soy esa,2024,1h 35m,4.9,222
132. Sweet Summer Love,2024,1h 30m,6.4,38
133. A Christmas Castle Proposal: A Royal in Paradise 2,2024,N/A,6.3,304
134. Once Upon a Christmas Wish,2024,1h 30m,6.0,294
135. 18×2 Beyond Youthful Days,2024,2h 3m,7.3,1.6K
136. Ajosepo,2024,2h 14m,8.8,37
137. Black Tea,2024,1h 50m,5.2,494
138. Swoon,2024,1h 23m,N/A,N/A
139. El Hawa Sultan,2024,2h 16m,6.7,421
140. Layla,2024,1h 40m,6.6,226
141. Breakup Season,2024,1h 42m,5.9,275
142. Daniela Forever,2024,1h 53m,6.1,143
143. The Air He Breathes,2024,1h 46m,6.4,311
144. Rokjesnacht,2024,1h 35m,5.0,177
145. Futra Days,2024,1h 39m,5.3,119
146. The Glassworker,2024,1h 38m,7.7,1.4K
147. Bad Newz,2024,2h 22m,4.8,26K
148. Stag,2024,1h 27m,5.0,101
149. Eks,2024,2h 1m,4.6,173
150. Chainsaws Were Singing,2024,1h 57m,7.2,297
151. Love Switch,2024,1h 29m,6.0,195
152. We're All Gonna Die,2024,1h 50m,8.4,54
153. Mon Potongo,2024,2h 29m,8.0,46
154. Siddharth Roy,2024,2h 28m,6.5,2.9K
155. Drawing Closer,2024,1h 58m,7.6,2.2K
156. Christmas at Plumhill Manor,2024,1h 27m,6.1,484
157. Auron Mein Kahan Dum Tha,2024,2h 30m,6.6,40K
158. Metro.... In Dino,2024,N/A,7.9,14
159. Bonjour Tristesse,2024,1h 50m,6.1,72
160. Kjærlighet,2024,1h 59m,7.3,207
161. Do Aur Do Pyaar,2024,2h 20m,6.6,12K
162. Good Bad Things,2024,1h 36m,8.3,92
163. Art of Love,2024,1h 39m,4.6,2.2K
164. Umjolo: The Gone Girl,2024,1h 32m,4.4,243
165. Langue Étrangère,2024,1h 41m,6.7,378
166. Love... Reconsidered,2024,1h 28m,4.9,113
167. Undergrads,2024,1h 6m,5.6,35
168. Kang Mak,2024,2h 2m,6.5,577
169. The Great Gujarati Matrimony,2024,2h 24m,8.1,55
170. The Holiday Exchange,2024,1h 30m,5.6,378
171. Double Blended,2024,1h 27m,8.4,6
172. Beauty and the Billionaire: Bali,2024,1h 31m,5.9,155
173. The Glory of Life,2024,1h 38m,6.6,390
174. The Holiday Club,2024,1h 28m,6.8,291
175. Duino,2024,1h 48m,8.3,82
176. A Toast to Love,2024,1h 29m,6.0,78
177. Dandelion,2024,1h 53m,5.3,375
